Publisher;Number;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Bemerkung;;;;;;Publication Date
Alterna;Go West (2018 series) #1; #1;;; #2;; #3;;; #1;;;;;;;;;;January 2018
Alterna;It Came Out on a Wednesday (2018 series) #1;;;;;;; #1;; #2; #3;;;;;;;;;June 2018
Alterna;Metaphase (2018 series) #1;;;;;;; #1;; #2;;;;;;;;;;
Alterna;Midnight Mystery (2018 series) #1;;;;;;;;;; #1;;;;;;;;;2018
Alterna;Mr. Crypt (2017 series) #3; #3;;;;;;;;;;;;;;;;;;January 2018
Alterna;Mr. Crypt (2018 series) ;;;;;;;;;;;Mr. Crypt (2018 series) ;;;;;;;;
Alterna;One-Dollar One-Shots: Baron Rat 2018 (2018 series) ;;;;;;;;;;One-Dollar One-Shots: Baron Rat 2018 (2018 series) ;;;;;;;;;2018
Alterna;Scrimshaw (2017 series) #2;; #4;; #5;;; #6;; #2;;;;;;;;;;
Alterna;Sonitus (2018 series) #1;; #1;; #2;;; #3;;;;;;;;;;;;February 2018
Alterna;The Wicked Righteous (2017 series) #4;; #4;; #5;;; #6;;;;;;;;;;;;March 2018
Alterna;The XII (2018 series) #1;;;; #2;;; #1;; #4; #5;;;;;;;;;February 2018
Alterna;The XII (2018 series) #2;;;;;;; #3;;;;;;;;;;;;2018
Alterna;Tinseltown (2018 series) #1;;;; #1;; #2; #3;;; #4;; #5;;;;;;;March 2018
Alterna;Zero Jumper (2018 series) #1;;;; #1;; #2; #3;;; #4;;;;;;;;;
Alternative Comics;True Stories (2014 series) #3;;;;; #3;;;; #4;;;;;;;;;;2018
American Gothic Press;Nice (2018 series) #1;;;;;;;;;;;; #1;;;;;;;December 2018
American Mythology Productions;Casper & Hot Stuff (2018 series) #1;;;;;;; #1;;;;;;;;;;;;[July] 2018
American Mythology Productions;Casper & Wendy (2018 series) #1;;;; #1;;;;;;;;;;;;;;;[April] 2018
American Mythology Productions;Chim Chum and the Portly Samurai (2018 series) #1; #1;;;;;;;;;;;;;;;;;;2018
American Mythology Productions;Daughters of the Dark Oracle (2018 series) #1; #1;; #2;; #3; #4;;;;;;;;;;;;;2018
American Mythology Productions;Edgar Rice Burroughs' Carson of Venus: Pirates of Venus (2018 series) #1;;;;;;;;;;;; #1;;;;;;;[December] 2018
American Mythology Productions;Edgar Rice Burroughs' Genesis (2018 series) #1 (0);;;;;;;;;; #1 (0);;;;;;;;;2018
American Mythology Productions;Edgar Rice Burroughs' Genesis FCBD (2018 series);;;;;;;FCBD;;;;;;;;;;;;
American Mythology Productions;Edgar Rice Burroughs' Pellucidar (2018 series) #1;;;;; #1;;;;;;;;;;;;;;
American Mythology Productions;Edgar Rice Burroughs' The Land That Time Forgot: Fear on Four Worlds (2018 series) #1;;;;;;;;;;;; #1;;;;;;;[December] 2018
American Mythology Productions;Edgar Rice Burroughs' The Land That Time Forgot: See-Ta the Savage (2018 series) #1;;; #1;; #2;;;;;;;;;;;;;;[March] 2018
American Mythology Productions;Equilibrium (2018 series);;#3;;;;;;;;;;;;;;;;;
American Mythology Productions;Equilibrium Gun Kata Case Book (2018 series) #1; #1;;;;;;;;;;;;;;;;;;
American Mythology Productions;Eternal Thirst of Dracula (2017 series) #2;;;; #2;;;;;;;;;;;;;;;
American Mythology Productions;Hatchet (2017 series) #2; #2; #3;;;;;;;;;;;;;;;;;
American Mythology Productions;Hatchet: Vengeance (2018 series) #1;;;;;;;;;; #1;;;;;;;;;[October] 2018
American Mythology Productions;Meteor Swarm (2018 series) #1; #1;;;;;;;;;;;;;;;;;;
American Mythology Productions;Mike Wolfer's Gallery of Monsters (2018 series) #1;;;;; #1;;;;;;;;;;;;;;
American Mythology Productions;Pink Panther 55th Anniversary Special (2018 series) #1;;;;; #1;;;;;;;;;;;;;;2018
American Mythology Productions;Pink Panther Presents the Ant & the Aardvark (2018 series) #1;;;;;;;; #1;;;;;;;;;;;2018
American Mythology Productions;Rocky & Bullwinkle Adventures: Halloween Comicfest (2018 series) #1;;;;;;;;;; #1;;;;;;;;;2018
American Mythology Productions;Stargate Atlantis / Stargate Universe Anthology (2018 series) #2018;; #2018;;;;;;;;;;;;;;;;;2018
American Mythology Productions;Stargate Atlantis Singularity (2018 series) #1;;; #1; #2; #3;;;;;;;;;;;;;;2018
